1	EASTMENT	English - Other; Regional; South Western
1	ECKETT	English - Diminutive; Ending with -Ett; Other
1	EDDEN	English - Locational Name; Settlement Ending; Den
1	EDMANDS	English - Other; Regional; West Midlands
1	EDMONSTON	English - Locational Name; Settlement Ending; Ton
1	ELAN	Unclassified
1	ELMITT	Unclassified
1	EMBLIN	Unclassified
1	EMLEY	Unclassified
1	EWIN	English - Name Of Person; Male Personal Name; Corrupted
2	EDMUND	English - Name Of Person; Male Personal Name; Common
2	ELKERTON	English - Locational Name; Settlement Ending; Ton
2	ELVIN	English - Unclassified; Unclassified; Unclassified
2	ELRIDGE	Unclassified
2	ENNETT	Unclassified
2	ETCHEL	Unclassified
2	ETCHELS	Unclassified
2	EVERINGTON	English - Locational Name; Settlement Ending; Ton
2	ERVINE	Celtic; Irish; Other Northern Irish
2	EATCH	Unclassified
3	EARLL	Unclassified
3	EATOCK	English - Other; Regional; North Western
3	EELE	Unclassified
3	ECCOTT	English - Locational Name; Settlement Ending; Cott
3	ELLSE	Unclassified
3	ELVINS	English - Other; Regional; West Midlands
3	ELPHINSTONE	English - Locational Name; Settlement Ending; Stone
3	ELRINGTON	Unclassified
3	ESSEN	Unclassified
3	EPTON	English - Locational Name; Settlement Ending; Ton
4	EVERS	English - Belonging To; Ending with -Ers; Other
4	ESCRITT	English - Other; Regional; Yorkshire
4	EUDEN	English - Locational Name; Settlement Ending; Den
4	EELES	English - Unclassified; Unclassified; Unclassified
4	ELDER	English - Nickname; Character; Other
4	EDINBOROUGH	English - Locational Name; Place; Middle or Large Town
4	EDINGTON	English - Locational Name; Settlement Ending; Ton
4	EDDON	English - Locational Name; Settlement Ending; Don
4	ELLICK	Unclassified
4	ELLIDGE	Unclassified
5	ENNIS	Celtic; Irish; Unclassified
5	ELLISE	Unclassified
5	EXTALL	Unclassified
5	ETESON	Unclassified
5	EZARD	English - Occupational Name; Ending in -Ard; Other
5	ERRINGTON	English - Locational Name; Settlement Ending; Ton
5	ERROL	Unclassified
5	EASTERBY	English - Locational Name; Settlement Ending; By
5	EASTERLING	English - Locational Name; Settlement Ending; Ing
5	EAKINS	English - Name Of Parent; Ending in -S; After -Kin Or Gin
6	EALEY	English - Locational Name; Settlement Ending; Ley
6	EASTLAND	English - Locational Name; Settlement Ending; Land
6	EALY	Unclassified
6	ENNESS	Unclassified
6	EMMERTON	English - Locational Name; Settlement Ending; Ton
6	ELT	Unclassified
6	EVENS	Celtic; Welsh; Name of Parent Ending in -S
6	ELLARBY	English - Locational Name; Settlement Ending; By
6	ELLCOME	Unclassified
6	EDE	English - Name Of Person; Male Personal Name; Uncommon
7	EDMUNDS	English - Name Of Parent; Ending in -S; After Personal Name
7	EDGECUMBE	Unclassified
7	EMBLEN	English - Unclassified; Unclassified; Unclassified
7	EASTER	English - Occupational Name; Ending in -Er; Other Occupation
7	EEDLE	Unclassified
7	EDGWORTH	Unclassified
7	ECKHOFF	Unclassified
7	EDMEADES	English - Other; Regional; South Eastern
7	EDDEY	Unclassified
7	EDEY	English - Unclassified; Unclassified; Unclassified
8	EMENY	English - Other; Regional; East Anglian
8	ELSTUB	English - Other; Regional; Yorkshire
8	EBLING	Unclassified
8	EARL	English - Status; Rank; Rank
8	EARSDON	Unclassified
8	EACHUS	English - Unclassified; Unclassified; Unclassified
8	EASSON	English - Name Of Parent; Ending in -Son; Other
8	EAGAN	English - Locational Name; Place; Other
8	EDGELLER	Unclassified
8	EITE	English - Other; Regional; East Midlands
9	EMBER	Unclassified
9	ENDERWICK	Unclassified
9	ELLINGER	Unclassified
9	EWINGTON	English - Locational Name; Settlement Ending; Ton
9	EVELY	English - Other; Regional; South Western
9	ESSOM	Unclassified
9	EAYRS	Unclassified
9	EASDOWN	English - Locational Name; Settlement Ending; Down
9	EBBS	English - Name Of Parent; Ending in -S; After Personal Name
9	EDIE	Celtic; Scottish; Ending with -Ie
10	ELERS	Unclassified
10	ELKINS	English - Name Of Parent; Ending in -S; After -Kin Or Gin
10	ENDEAN	Celtic; Cornish; Other Regional
10	EMANS	English - Unclassified; Unclassified; Unclassified
10	ENGLEDEW	Unclassified
10	ELSHAM	Unclassified
10	EYKE	Unclassified
10	EVERLY	Unclassified
10	EVERSLEY	English - Locational Name; Settlement Ending; Ley
10	EVINSON	Unclassified
11	EWENSON	Unclassified
11	EWERS	English - Belonging To; Ending with -Ers; Other
11	ENGLISH_NICKNAME;APPEARANCE;PHYSICAL	 
11	ENGLISH_OTHER;REGIONAL;WEST_MIDLAND	 
11	ENGLISH_LOCATIONAL_NAME;ALL;ALL	 
11	ENGLISH_OTHER;REGIONAL;SOUTH_WESTERN	 
11	ENGLISH_NICKNAME;APPEARANCE;COLOUR	 
11	ENGLISH_UNCLASSIFIED;UNCLASSIFIED;ALL	 
11	ENGLISH_NAME_OF_PARENT;ALL;ALL	 
11	ENGLISH_LOCATIONAL_NAME;SETTLEMENT_ENDING;HAM	 
12	ENGLISH_LOCATIONAL_NAME;SETTLEMENT_ENDING;WOOD	 
12	ENGLISH_LOCATIONAL_NAME;SETTLEMENT_ENDING;THORN	 
